Sentence	True	Predicted

@Gurmeetramrahim	O	O

#MSGsaysEqualityToAll	O	O

thanku	O	O

so	O	O

much	O	O

pita	O	O

ji	O	O

		

RT	O	O

@VipulUpasani	O	O

:	O	O

Srisrimangeshda	O	O

Hari	O	O

Om	O	O

Gurumauli	O	O

really	O	O

greatest	O	O

program	O	O

.	O	O

Icing	O	O

was	O	O

satsang	O	O

by	O	O

you	O	O

explain	O	O

importance	O	O

of	O	O

#Mahashivratri	O	O

		

#OmNamahShivay	O	O

Wish	O	O

you	O	O

all	O	O

a	O	O

very	O	O

happy	O	O

#MahaShivratri	O	O

#Shivratri	O	O

ki	O	O

bohot	O	O

bohot	O	O

badhaai	O	O

aap	O	O

sabko	O	O

http://t.co/GufQ5n1cx1	O	O

		

RT	O	O

@smitaprakash	O	O

:	O	O

Na	O	O

.	O	O

Na	O	O

kar	O	O

yeh	O	O

sab	O	O

Afridi	B-PERSON	O

http://t.co/7QJiqGuqxq	O	O

		

@SrBachchan	O	O

#MothersDay	O	O

Shweta	O	O

Bachchan	O	O

@earth2angel	O	O

on	O	O

her	O	O

mom	O	O

#JayaBachchan	O	O

Must	O	O

read	O	O

https://t.co/tQYIGGXX51	O	O

https://t.co/SXmuUT4b6d	O	O

		

Mohit	B-PERSON	O

Sharma	I-PERSON	O

!	O	O

Attaboy	O	O

!	O	O

Exemplary	O	B-PERSON

!	O	O

The	O	O

best	O	O

19th	O	O

over	O	O

in	O	O

this	O	O

IPL	B-ORGANISATION	O

,	O	O

at	O	O

par	O	O

wd	O	O

Praveen	B-PERSON	B-PERSON

Kumar's	I-PERSON	I-PERSON

19th	O	O

!	O	O

#KXIPvDD	O	O

		

RT	O	O

@kchowdhury9	O	O

:	O	O

#boycottraees	O	O

ayse	O	O

chorna	O	O

nehi	O	O

...	O	O

Eid	O	O

2016	O	O

#raees	O	O

		

@ArvindKejriwal	O	O

Tumhare	O	O

theory	O	O

se	O	O

sab	O	O

kuch	O	O

chalta	O	O

hai	O	O

kya	O	O

bizarre	O	O

babu	O	O

?	O	O

Check	O	O

karwa	O	O

lo	O	O

aur	O	O

dekh	O	O

lo	O	O

.	O	O

		

RT	O	O

@FocusNewsIndia	O	O

:	O	O

#BREAKING	O	O

|	O	O

Lok	B-ORGANISATION	O

Sabha	I-ORGANISATION	O

#Speaker	O	O

Sumitra	B-PERSON	O

Mahajan	I-PERSON	O

rejects	O	O

#Congress	O	O

MP	O	O

Jyotiraditya	B-PERSON	B-PERSON

Scindia's	I-PERSON	I-PERSON

adjournment	O	O

motion	O	O

over	O	O

#Lan	O	O

		

RT	O	O

ndtv	O	O

""""	O	O

RT	O	O

NDTVProfit	O	O

:	O	O

#RailBudget2015	O	O

Suresh	B-PERSON	O

Prabhu	I-PERSON	O

says	O	O

no	O	O

increase	O	O

in	O	O

passenger	O	O

fares	O	O

http://t.co/rHsAEEIWtH	O	O

http://t.co/br4crUkkbS	O	O

""""	O	O

		

RT	O	O

@DrShobha	O	O

:	O	O

#7SistersOfIndia	O	O

Many	O	O

researchers	O	O

explain	O	O

the	O	O

name	O	O

'	O	O

Tripura	B-PLACE	O

'	O	O

from	O	O

its	O	O

etymological	O	O

origin	O	O

1/n	O	O

https://t.co/A7RAIA14tG	O	O

		

RT	O	O

@AShukla_	O	O

:	O	O

1	O	O

TripuraSundariTemple	O	O

55	O	O

KM	O	O

from	O	O

Agartala	B-PLACE	B-PERSON

Tripura	B-PLACE	I-PERSON

.	O	O

1	O	O

of	O	O

the	O	O

51	O	O

Shakti	O	O

Peeths	O	O

.	O	O

Constructed	O	O

by	O	O

#DhanyaManikyaDebbarma	O	O

https://	O	O

		

@piersmorgan	O	O

@TrendsPune	O	O

i	O	O

thought	O	O

u	O	O

followed	O	O

cricket	O	O

?	O	O

Sahara	B-ORGANISATION	O

Pune	I-ORGANISATION	O

Warriors	I-ORGANISATION	O

		

I	O	O

think	O	O

only	O	O

The	O	O

SuperStar	O	O

Ajit	B-PERSON	O

Agarkar	I-PERSON	O

or	O	O

The	O	O

MegaStar	O	O

Munaf	B-PERSON	O

Patel	I-PERSON	O

can	O	O

remove	O	O

Hashim	B-PERSON	B-PERSON

Amla	I-PERSON	I-PERSON

#IndvsSA	O	O

#INDvSA	O	O

#ProteaFire	O	O

		

@anjali_18_rasik	O	O

@prashanth_Kohli	O	O

@Drama_queenRJ	O	O

@riya9sobti	O	O

hein	O	O

:O	O	O

Kuch	O	O

vii	O	O

but	O	O

acha	O	O

haii	O	O

:-P	O	O

		

@ImRaina	O	O

Hey	O	O

kya	O	O

tum	O	O

hum	O	O

sabko	O	O

Happy	O	O

Mahashivratri	O	O

wish	O	O

